#             sqrt(s)             alpha_s           alpha_qed              weight            beam1_px            beam1_py            beam1_pz             beam1_E            beam2_px            beam2_py            beam2_pz             beam2_E           final1_px           final1_py           final1_pz            final1_E           final2_px           final2_py           final2_pz            final2_E
                  90               0.118          0.00729915                   1                   0                   0            -45.4296             45.4296                   0                   0             45.4296             45.4296             7.96769            -44.4646            -4.82329             45.4296            -7.96769             44.4646             4.82329             45.4296
                  90               0.118          0.00729915                   1                   0                   0            -39.1346             39.1346                   0                   0             39.1346             39.1346             5.61576             4.60505            -38.4549             39.1346            -5.61576            -4.60505             38.4549             39.1346
                  90               0.118          0.00729915                   1                   0                   0            -42.9207             42.9207                   0                   0             42.9207             42.9207            -3.88172             -29.223            -31.1952             42.9207             3.88172              29.223             31.1952             42.9207
                  90               0.118          0.00729915                   1                   0                   0             -36.737              36.737                   0                   0              36.737              36.737              8.2962            -1.73497            -35.7459              36.737             -8.2962             1.73497             35.7459              36.737
                  90               0.118          0.00729915                   1                   0                   0            -36.8925             36.8925                   0                   0             36.8925             36.8925             5.27681           0.0540077            -36.5132             36.8925            -5.27681          -0.0540077             36.5132             36.8925
                  90               0.118          0.00729915                   1                   0                   0            -44.9879             44.9879                   0                   0             44.9879             44.9879             19.1367             8.19124            -39.8823             44.9879            -19.1367            -8.19124             39.8823             44.9879
                  90               0.118          0.00729915                   1                   0                   0            -36.1325             36.1325                   0                   0             36.1325             36.1325            0.484355            -5.54843            -35.7007             36.1325           -0.484355             5.54843             35.7007             36.1325
                  90               0.118          0.00729915                   1                   0                   0            -45.8936             45.8936                   0                   0             45.8936             45.8936             20.5034            -30.9833            -26.9419             45.8936            -20.5034             30.9833             26.9419             45.8936
                  90               0.118          0.00729915                   1                   0                   0              -47.36               47.36                   0                   0               47.36               47.36            -36.3099             21.9414            -21.0508               47.36             36.3099            -21.9414             21.0508               47.36
                  90               0.118          0.00729915                   1                   0                   0            -46.4813             46.4813                   0                   0             46.4813             46.4813            -10.7419             4.23577            -45.0242             46.4813             10.7419            -4.23577             45.0242             46.4813
